,A1+A2摸ユ硄ㄆ珿籉ㄆン计[ン],A1+A2摸ユ硄ㄆ珿籉ㄆ瞯[ン/窾进],A1+A2摸ユ硄ㄆ珿籉ㄆン计ó进/═ó羆璸[ン],A1+A2摸ユ硄ㄆ珿籉ㄆン计ó进/═ó[ン],A1+A2摸ユ硄ㄆ珿籉ㄆン计ó进/═ó[ン],A1+A2摸ユ硄ㄆ珿籉ㄆン计ó进/疭贺ó[ン],A1+A2摸ユ硄ㄆ珿籉ㄆン计ó进/诀ó[ン],A1+A2摸ユ硄ㄆ珿籉ㄆン计ó进/︽ó[ン],A1+A2摸ユ硄ㄆ珿籉ㄆン计ó进/ㄤ[ン],A1+A2摸ユ硄ㄆ珿端计/羆璸[],A1+A2摸ユ硄ㄆ珿端计/[],A1+A2摸ユ硄ㄆ珿端计/端[],笵隔ユ硄ㄆ珿キА单[は莱]丁[だ]
57,1159,113.24,-,-,-,-,-,-,-,-,-,-,-
58,1496,96.01,-,-,-,-,-,-,-,-,-,-,-
59,1361,87.74,-,-,-,-,-,-,-,-,-,-,-
60,1474,93.56,-,-,-,-,-,-,-,-,-,-,-
61,1698,93.78,-,-,-,-,-,-,-,-,-,-,-
62,1208,59.8,-,-,-,-,-,-,-,-,-,-,-
63,1045,44.12,-,-,-,-,-,-,-,-,-,-,-
64,1174,42.5,-,-,-,-,-,-,-,-,-,-,-
65,1205,38.6,-,-,-,-,-,-,-,-,-,-,-
66,1394,39.06,-,-,-,-,-,-,-,-,-,-,-
67,1530,37.57,-,-,-,-,-,-,-,-,-,-,-
68,1811,40.27,-,-,-,-,-,-,-,-,-,-,-
69,1926,36.12,-,-,-,-,-,-,-,-,-,-,-
70,1979,32.2,-,-,-,-,-,-,-,-,-,-,-
71,2073,30.52,-,-,-,-,-,-,-,-,-,-,-
72,2140,28.52,-,-,-,-,-,-,-,-,-,-,-
73,2263,27.6,-,-,-,-,-,-,-,-,-,-,-
74,1939,22.01,-,-,-,-,-,-,-,-,-,-,-
75,1925,20.73,-,-,-,-,-,-,-,-,-,-,-
76,1905,24.67,-,-,-,-,-,-,-,-,-,-,-
77,1724,19.34,-,-,-,-,-,-,-,-,-,-,-
78,1709,16.97,-,-,-,-,-,-,-,-,-,-,-
79,1487,13.58,-,-,-,-,-,-,-,-,-,-,-
80,998,8.69,-,-,-,-,-,-,-,-,-,-,-
81,621,5.16,-,-,-,-,-,-,-,-,-,-,-
82,301,2.41,-,-,-,-,-,-,-,-,-,-,-
83,239,1.87,-,-,-,-,-,-,-,-,-,-,-
84,291,2.15,-,-,-,-,-,-,-,-,-,-,-
85,262,1.81,-,-,-,-,-,-,-,-,-,-,-
86,217,1.42,-,-,-,-,-,-,-,-,-,-,-
87,180,1.14,-,-,-,-,-,-,-,-,-,-,-
88,164,1.04,-,-,-,-,-,-,-,-,-,-,-
89,12224,75.2,-,-,-,-,-,-,-,-,-,-,-
90,12604,76.98,-,-,-,-,-,-,-,-,-,-,-
91,14853,90.06,-,-,-,-,-,-,-,-,-,-,-
92,15381,91.08,-,-,-,-,-,-,-,-,-,-,-
93,14582,84.45,-,-,-,-,-,-,-,-,-,-,-
94,15017,85.49,-,-,-,-,-,-,-,-,-,-,-
95,15324,86.19,-,-,-,-,-,-,-,-,-,-,-
96,14649,81.75,-,-,-,-,-,-,-,-,-,-,-
97,13745,76.43,-,-,-,-,-,-,-,-,-,-,-
98,15326,84.48,-,-,-,-,-,-,-,-,-,-,-
99,18983,104.32,-,-,-,-,-,-,-,-,-,-,-
100,20046,108.61,10331,383,9948,13,8473,278,951,26644,140,26504,5.35
101,19192,103.38,9956,424,9532,22,8117,318,779,25477,130,25347,5.14
102,19687,109.2,10037,401,9636,19,8414,368,849,26338,140,26198,4.97
103,20529,116.1,10334,457,9877,17,8998,411,769,27425,138,27287,5.01
104,20649,117.19,10265,425,9840,20,9264,390,710,27416,137,27279,4.54
105,22448,127.77,11071,465,10606,19,9870,455,1033,29202,157,29045,4.1
106,21682,122.93,10349,409,9940,17,9678,461,1177,28170,106,28064,3.66
107,21548,122.58,10023,406,9617,23,9720,458,1324,27853,137,27716,3.81
108,22882,129.45,10696,506,10190,15,10716,525,930,29598,131,29467,4.23
109,25545,144.96,11447,557,10890,19,12530,615,934,33880,102,33778,4.01
110,24038,135.77,10529,450,10079,12,12005,592,900,32130,130,32000,3.98
111,25141,141.67,11047,440,10607,14,12238,682,1160,33376,107,33269,3.89
